unique_id_number,program_description,plain_language_program_name,brief_excerpt,plain_language_eligibility,how_to_apply_summary,program_code,government_agency,get_help_by_calling_other,apply_by_mail_call_to_action
P015s,SCRIE ayuda a los ciudadanos elegibles mayores de 62 años a permanecer en viviendas económicas congelando su renta. Los inquilinos pagan la renta congelada. Un crédito de impuesto inmobiliario cubre la diferencia entre la renta real y la congelada.,Congelamiento de la renta para personas de la tercera edad,Un programa de congelamiento de la renta para ayudar a los neoyorquinos elegibles a conservar sus hogares,"Para ser elegible para SCRIE, debe poder responder afirmativamente a todas estas preguntas:\n¿Tiene 62 años o más?\n¿Su nombre figura en el contrato de arrendamiento?\n¿Los ingresos totales de su unidad familiar son de $50,000 o menos en un año?\n¿Asigna más de un tercio de sus ingresos mensuales a la renta?\n¿Vive en NYC en uno de estos tipos de vivienda?\nun apartamento con renta estabilizada\nun apartamento con renta controlada\nun hotel o unidad de ocupación sencilla con renta regulada\nun apartamento de Mitchell-Lama\nun urbanismo de una compañía urbanística con dividendos limitados (Limited Dividend Housing Company)\nun urbanismo de una compañía de reurbanización\nun urbanismo de una compañía de fondos de desarrollo para vivienda","\nPresente la solicitud en línea: Si está solicitando SCRIE por primera vez, puede hacerlo en línea (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .\nTambién puede (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) Programar una cita virtual (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) para solicitar SCRIE.\nSolicite por correo: descargue (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) la aplicación (mailto:SCRIE@hpd.nyc.gov) o recoja una en un Centro de Asistencia de SCRIE.\nEnvíe por correo la solicitud completa y firmada con los documentos de respaldo a:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083 Si vive en los complejos de viviendas de Redevelopment Company o Mitchell-Lama:\nDescargue la aplicación de HPD SCRIE y envíela por correo a:HPD SCRIE Unit100 Gold Street, 7th floorNew York, New York, 10038\nTambién puede enviar su solicitud completa por correo electrónico a SCRIE@hpd.nyc.gov.",S2R015,"Departamento de Finanzas de la Ciudad de Nueva York (NYC Department of Finance, DOF)/Departamento de Preservación y Desarrollo de Viviendas de la Ciudad de Nueva York (NYC Housing Preservation and Development, HPD)","Llame a SCRIE usando TTYLlame al 212-639-9675 si tiene dificultades auditivas.Llame a HPDSi tiene preguntas sobre SCRIE supervisado por HPD, llame al 212-863-8494.",Descargue el formulario
P006c,EITC 為符合條件的家庭、非監護父母以及全職、兼職或自雇人員提供稅額抵免。 EITC 有聯邦、州和紐約市版本。,有工作之個人與家庭的稅額抵免,"符合條件的家庭、非監護父母以及全職、兼職或自雇人員可獲得最高 $11,000 的稅額抵免。","申請聯邦 EITC 的資格條件\n您擁有有效的社會安全號碼。\n您在 2024 年的收入、婚姻和育兒狀況屬於其中之一。\n已婚、有符合條件的子女且收入不超過 $66,819\n已婚、無符合條件的子女且收入不超過 $25,511\n單身、有符合條件的孩子且收入不超過 $59,899\n單身、無符合條件的子女且收入不超過 $18,591\n符合條件的子女包括親生子女、繼子女、寄養子女以及（外）孫子女。\n如果沒有子女，那麼 EITC 僅向 25 至 64 歲之間的申報者提供。\n已婚單獨申報：在以下情況下，未提交聯合報稅表的配偶可以申請 EITC：\n您有符合條件的子女，且該子女與您共同生活長達半年以上；以及\n您在 2024 年底根據州法律而合法分居，或者您在 2024 年的最後 6 個月內與配偶分居。\n您在 2024 年的投資收入少於 $11,600。*如果您仍然不確定自己是否符合條件，國稅局 (IRS) 提供計算器 (https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/use-the-eitc-assistant) ，可供您計算自己是否符合條件。 申請紐約州 EITC 的資格條件\n您未申報非監護家長勞動所得稅抵免， (https://www.tax.ny.gov/pit/credits/nceic.htm) 並且\n您符合資格並申報了聯邦 EITC申請紐約市 EITC 的資格條件\n申報人在紐約市居住滿一年或半年，並且\n申報人申報了聯邦勞動所得稅抵免。",造訪getyourrefund.org (https://www.getyourrefund.org/) 免費申報聯邦稅並申請聯邦 EITC。 您還可能需要單獨申請州退稅，以獲得紐約州和紐約市 EITC。 如果您要透過郵寄報稅，您將需要填寫以下表格：\n表格 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 或 (https://www.irs.gov/forms-pubs/about-form-1040-nr) 表格 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) （適用於聯邦 EITC）\n附表 EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) （適用於聯邦報稅），如果您有子女\n表單 IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) （適用於紐約州抵免）\nIT-215 說明表單中的工作表 C (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) （適用於紐約市抵免）您還可以透過NYC Free Tax Prep服務獲得免費的報稅協助。,S2R006,,找尋 VITA 或 TCE 地點 請致電800-906-9887，找尋最近的志工所得稅協助 (VITA) 或長者稅務諮詢 (TCE) 計劃。,
P013hc,"Seksyon 8 la peye yon pati nan lwaye a pou fanmi ki gen revni ba ak modere ki vle lwe nan mache prive a. Elijiblite pou pwogram sa a baze sou revni yon fanmi ak gwosè fanmi an. Anjeneral, fanmi yo pap peye plis pase 40% nan revni mansyèl yo pou lwaye yo. NYCHA peye rès la bay pwopriyetè pwopriyete a.",Bon ki peye yon pati nan lwaye ou,Seksyon 8 la peye yon pati nan lwaye a pou fanmi ki gen revni ba ak modere ki vle lwe nan mache prive a.,Elijiblite pou pwogram Seksyon 8/HCV yo baze sitou sou kantite lajan fanmi w ap touche ak gwosè fanmi w.\nKantite moun ki nan kay la|Revni Anyèl\n1|$56.700\n2|$64.800\n3|$72.900\n4|$81.000\n5|$87.500\n6|$94.000\n7|$100.450\n8|$106.950\n,Aplikasyon pou Koupon Chwa Lojman Seksyon 8 Vil Nouyòk la fèmen kounye a.,S2R013,NYC Otorite nan Lojman,Rele si w gen kesyon Rele Sant Kontak Kliyan (CCC) NYCHA nan718-707-7771.,
P010c,如果您有需要，您的家人可以獲得現金。 許多家庭將通過借記卡獲得資金，這種借記卡可以在任何接受 EBT 卡的 ATM 或商店使用。 一些家庭可能只有資格獲得直接支付給房東的資金。,當您有需要時，每月提供現金幫助,現金援助可以幫助您支付租金、公用事業費用和其他緊急費用。,\n此計畫的資格取決於幾項標準。 其中一些包括：您的收入\n您領取的福利金額\n家中居住人數\n現金或支票帳戶等資源,"線上申請\n透過 (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) 進行申請您同時也可以透過現金援助應用程式申請現金援助、補充營養援助計畫 (Supplemental Nutrition Assistance Program, SNAP) 和 Medicaid 續費。\n使用 (https://otda.ny.gov/programs/applications/2921-CH.pdf) ACCESS HRA 行動應用程式 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 追蹤您的申請的受理進度或者提交文件。\n相關機構可能會聯絡您安排電話約談。您也可以造訪 HRA 中心 (http://www1.nyc.gov/site/hra/locations/job-locations.page) ，進行面對面約談。寄信申請\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) 列印申請表並完成填寫。\n郵寄申請表或將其放入 HRA 職業中心的投遞箱。\n相關機構可能會聯絡您安排電話約談。您也可以造訪 HRA 中心，進行面對面約談。親臨現場申請造訪開放的 HRA 職業中心進行申請。如果您提交身分證明、居住證明、同住人士證明和您的收入證明，將會有助於申請進度。工作人員將會告訴您必須證明的事項。",S2R010,NYC 紐約市人力資源管理局,撥打 HRA 專線 如需詳細資訊，請致電 HRA 專線：718-557-1399。,下載表單
P003f,Les programmes EarlyLearn sont des programmes de garde et d’éducation à un prix abordable pour les enfants de six semaines à deux ans. Des centaines de programmes dans la ville de New York proposent ces services dans des environnements sûrs et favorables à l’apprentissage pour les enfants.,Garde d’enfants gratuite ou à bas coût pour les enfants de six semaines à deux ans,Les services de garde de jeunes enfants et d’éducation sont disponibles jusqu’à dix heures par jour.,"\nProgrammes Early Head Start La meilleure manière de déterminer si votre famille est admissible à Early Head Start est de contacter directement un programme. Votre famille peut être admissible à Early Head Start si au moins une de ces catégories s’applique à votre situation :vous vivez dans un logement temporaire ;\nvous recevez l’aide financière en espèces de la HRA ;\nvous percevez l’allocation supplémentaire de revenu de sécurité (Supplemental Security Income, SSI) ;\nvous inscrivez un enfant qui est en famille d’accueil ;\nVous pouvez également être admissible si les revenus de votre foyer sont inférieurs ou égaux à ces montants :\n Taille du foyer| Revenus annuels\n 1| 14 580 $\n 2| 19 720 $\n 3| 24 860 $\n 4| 30 000 $\n 5| 35 140 $\n 6| 40 280 $\n 7| 45 420 $\n 8| 50 560 $\n Pour chaque personne supplémentaire, ajouter :| 5140 $\n \n Programmes pour les nourrissons/jeunes enfants Vous devez démontrer au moins l’un de ces « motifs de prestations » approuvés :vous travaillez plus de 10 heures par semaine ;\nvous suivez un programme d’éducation ou de formation spécialisée ;\nvous commencez à chercher du travail ou vous en cherchez depuis plus de 6 mois ; cela inclut la recherche d’un emploi tout en recevant des allocations chômage ;\nvous vivez dans un logement temporaire ;\nvous suivez un traitement pour violences conjugales ;\nVous suivez un traitement pour toxicomanie\nVous pouvez être admissible si les revenus de votre foyer sont inférieurs ou égaux à ces montants :\n Taille du foyer| Revenus mensuels| Revenus annuels\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n","La meilleure façon de demander une garde d’enfants EarlyLearn est de rendre visite à un programme.\nTrouvez un programme sur MySchools (https://www.myschools.nyc/fr/schools/3k/) .\nCliquez sur « Plus de filtres » et cochez l’une des options sous « Early Learn ».\nSaisissez ensuite votre adresse pour trouver des programmes près de chez vous.\nRendez visite au programme. Le personnel vous aidera à remplir votre demande sans erreurs. Si vous bénéficiez déjà de prestations de la HRA, vous devez déposer votre demande auprès de votre HRA Benefits Access Center (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) .Si vous ne pouvez pas rendre visite à un programme, vous pouvez aussi envoyer votre demande par courrier.\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Téléchargez le formulaire de demande dans votre langue ou appelez le 311 pour en demander un par courrier.\nEnvoyez votre demande par e-mail à ccapplication@schools.nyc.gov\nSi vous ne parvenez pas à l’envoyer par e-mail, vous pouvez l’envoyer par courrier à : NYC DOE Family Welcome Center333 7th Ave12th floorNew York NY 10001",S2R003,Département de l’éducation (Department of Education) de la ville de New York,,Télécharger le formulaire de demande
P005b,DRIE প্রতিবন্ধী যোগ্য ভাড়াটিয়াদের তাদের ভাড়া সুস্থিত করে সাশ্রয়ী মূল্যের আবাসনে থাকতে সাহায্য করে। ভাড়াটিয়ারা সুস্থিত ভাড়া পরিশোধ করে। একটি সম্পত্তি ট্যাক্স ক্রেডিট প্রকৃত বাড়িভাড়ার রাশি এবং সুস্থিত বাড়িভাড়ার মধ্যে ফারাকটিকে কভার করে।,প্রতিবন্ধী লোকেদের জন্য রেন্ট ফ্রিজ,ভাড়া সুস্থিত কর্মসূচি যোগ্য নিউ ইয়র্কবাসীদের নিজের বাড়িতে থাকতে সাহায্য করে,"DRIE এর জন্য যোগ্য হতে, আপনাকে এইসব প্রশ্নের উত্তরে """"হ্যাঁ"""" বলতে হবে:\nআপনার বয়স কি 18 বছর বা তার বেশি?\nআপনার নাম কি লিজে রয়েছে?\nআপনার মোট পারিবারিক আয় কি বার্ষিক $50,000 বা তার চেয়ে কম?\nমাসিক পারিবারিক আয়ের প্রায় এক-তৃতীয়াংশের বেশি কি ঘর ভাড়া হিসাবে খরচ করেন।\nআপনার কি নিম্নলিখিত সুবিধাগুলি থেকে আয় হয়েছে?\nপরিপূরক নিরাপত্তা আয় (Supplemental Security Income, SSI)\nফেডারেল সোশ্যাল সিকিউরিটি ডিসেবিলিটি ইন্সুরেন্স (Federal Social Security Disability Insurance, SSDI)\nইউ.এস ডিপার্টমেন্ট অব্ ভেটারান্স ডিসাবিলিটি পেনশন বা কমপেনসেশন (U.S. Department of Veterans Affairs (VA) disability pension or compensation)\nযদি আপনি অতীতে SSI বা SSDI পেয়ে থাকেন তাহলে প্রতিবন্ধকতা সংক্রান্ত Medicaid\nআপনি কি NYC তে এই ধরনের আবাসনে বসবাস করেন?\nভাড়া স্থিতিশীল অ্যাপার্টমেন্ট\nভাড়া নিয়ন্ত্রিত অ্যাপার্টমেন্ট\nMitchell-Lama ডেভেলপমেন্ট\nলিমিটেড ডিভিডেন্ড ডেভেলপমেন্ট\nরিডেভেলপমেন্ট কোম্পানি ডেভেলপমেন্ট\nহাউজিং ডেভেলপমেন্ট ফান্ড কোম্পানি (Housing Development Fund Company, HDFC) সমবায় উন্নয়ন\nধারা 213 সমবায় ইউনিট\nভাড়া নিয়ন্ত্রিত হোটেল বা এক জনের থাকার রুমে","অনলাইনআপনি যদি প্রথমবার DRIE-এর জন্য আবেদন করেন, তাহলে আপনি অনলাইনে (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) আবেদন করতে পারেন।DRIE-এর জন্য আবেদন করার জন্য (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) একটি ভার্চুয়াল অ্যাপয়েন্টমেন্ট নির্ধারণ করুন (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) ।ডাকযোগে\n (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) প্রাথমিক আবেদন প্রিন্ট করুন এবং এটিকে পূরণ করুন। এছাড়াও আপনি DRIE সহায়তা কেন্দ্র থেকে একটি বাছাই করতে পারেন বা 311 নম্বরে ফোন করে আপনার কাছে একটি আবেদন পাঠানোর অনুরোধ করতে পারেন।\nসহায়ক নথি সহ আপনার সম্পূর্ণ করা ও সই করা নথি ডাকযোগে পাঠান এই ঠিকানাযRent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083সশরীরেআবেদন করার জন্য আপনার কাছাকাছি অর্থ সহায়তা কেন্দ্রের বিভাগ (Department of Finance Assistance Center) খুঁজুন। একটি কেন্দ্রে যাওয়ার জন্য আপনাকে একটি অ্যাপয়েন্টমেন্ট নির্ধারণ করতে হতে পারে।ফোনেআপনি যদি হাউজিং ডেভেলপমেন্ট ফান্ড কোম্পানি (Housing Development Fund Company, HDFC) অ্যাপার্টমেন্টে থাকেন, তাহলে DRIE-এর জন্য আবেদন করতে 212-863-8494 নম্বরে HPD-কে ফোন করুন।",S2R005,"NYC অর্থ বিভাগ (Department of Finance, DOF); NYC আবাসন সংরক্ষণ ও উন্নয়ন বিভাগ (Department of Housing Preservation and Development, HPD)",TTY ব্যবহার করে DRIE তে ফোন করুনআপনি কানে কম শুনলে 212-639-9675 নম্বরে ফোন করুন।,ফর্মটি ডাউনলোড করুন
P001r,Налоговые льготы по уходу за детьми и иждивенцами компенсирует вам до 50% расходов на уход за ребенком или взрослым иждивенцем. В налоговой декларации за 2024 год вы можете востребовать возмещение (налоговый вычет) до $3000 при наличии расходов по уходу за одним соответствующим критериям лицом и до $6000 при наличии расходов по уходу за двумя или более соответствующими критериям лицами.,"Налоговый вычет, если у вас были расходы по уходу за детьми или иждивенцами","Получите денежную компенсацию, если вы платили за уход о ребенке или взрослом иждивенце, пока работали или искали работу.","Вы имеете право на налоговый вычет по уходу за детьми и иждивенцами, если вы можете положительно ответить на все приведенные ниже вопросы.\nПлатили ли вы кому-либо за уход за иждивенцем, чтобы вы (и ваш(-а) супруг(-а), если вы подаете совместную декларацию) имели возможность работать или искать работу? Иждивенцы, соответствующие критериям:\nребенок в возрасте до 13 лет на момент получения услуг по уходу;\nсупруг(-а) или взрослый иждивенец, который в связи с ограниченными физическими или умственными возможностями не может позаботиться о себе.\nПроживал ли иждивенец с вами более чем полгода в 2024 году?\nИмели ли вы (и ваш(-а) супруг(-а), если вы подаете совместную налоговую декларацию) трудовой доход в налоговом году? Это может быть доход в виде заработной платы, окладов, чаевых или других налогооблагаемых средств или доход от индивидуальной трудовой деятельности.\nЕсли вы состоите в браке, вы и ваш(-а) супруг(-а) работаете вне дома?\nЕсли нет, работает ли один из вас вне дома, в то время как другой учится на дневной форме обучения, имеет инвалидность или ищет работу?","Чтобы получить налоговую льготу, подайте федеральную налоговую декларацию бесплатно на веб-сайтеgetyourrefund.org (https://www.getyourrefund.org/) ‎. Если вы отправляете налоговую декларацию по почте, заполнитеформу 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) и приложитеформу 2441 (https://www.irs.gov/pub/irs-pdf/f2441.pdf) ‎. Вы можете получить бесплатную помощь в подготовке налоговых деклараций онлайн, лично или передав документы в службу помощи в подготовке налоговых деклараций г. Нью-Йорка(NYC Free Tax Prep)‎ (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) ‎.",S2R001,"Департамент по защите потребителей и работников (Department of Consumer and Worker Protection, DCWP) г. Нью-Йорка / Налоговая служба (Internal Revenue Service, IRS)","Позвоните по номеру800-906-9887, чтобы узнать адрес ближайшего пункта Программы оказания безвозмездной помощи по вопросам подоходного налогообложения (Volunteer Income Tax Assistance, VITA) или Программы консультаций по вопросам налогообложения для пожилых людей (Tax Counseling for the Elderly, TCE).",
P013b,"অনুচ্ছেদ 8 নিম্ন- এবং মধ্যম আয়ের পরিবারের জন্য ভাড়ার অংশ প্রদান করে যারা প্রাইভেট মার্কেটে ভাড়া নিতে চান। পরিবারের আয় এবং পরিবারের আকারের উপর ভিত্তি করে এই প্রোগ্রামের যোগ্যতা নির্ধারিত হয়। সাধারণভাবে, পরিবারগুলি তাদের মাসিক আয়ের 40 শতাংশের বেশি প্রদান করবেন না। NYCHA সম্পত্তির মালিককে বাকি অর্থ প্রদান করে।",ভাউচার যা আপনার ভাড়ার অংশ প্রদান করে,অনুচ্ছেদ 8 নিম্ন- এবং মধ্যম আয়ের পরিবারের জন্য ভাড়ার অংশ প্রদান করে যারা প্রাইভেট মার্কেটে ভাড়া নিতে চান।,"বিভাগ 8/এইচসিভি প্রোগ্রামগুলি (HCV programs)-এর জন্য যোগ্যতা প্রাথমিকভাবে আপনার পরিবার কত টাকা উপার্জন করে এবং পরিবারের আকারের উপর ভিত্তি করে।\nপরিবারের আকার\nবার্ষিক আয়1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",NYC বিভাগ 8 হাউজিং চয়েস ভাউচারের জন্য আবেদন করা বর্তমানে বন্ধ রয়েছে৷,S2R013,"NYC আবাসন কর্তৃপক্ষ (NYC Housing Authority, NYCHA)",আপনার যদি কোনও প্রশ্ন থাকে ফোন করুন NYCHA-এর গ্রাহক যোগাযোগ কেন্দ্রকে718-707-7771নম্বরে ফোন করুন।,
P003c,早期學習計畫提供免費或平價的托兒和教育服務，適用於六週至兩歲的兒童。 紐約市內有數百項計畫，為兒童提供安全且正向的學習環境。,免費或平價的托兒服務，適用於 6 週至 2 歲的兒童,早期托兒服務與教育服務每天可提供服務長達 10 小時。,"\n早期啟蒙教育計畫 要確認您的家庭是否符合早期啟蒙教育計畫的資格，最好是直接聯絡計畫。 如果您符合以下至少一種情況，則您的家庭可能有資格參與早期啟蒙教育計畫：您住在臨時住房內\n您正領取 HRA 現金援助\n您正領取 SSI（社會安全輔助保險）\n您正為受寄養照顧的兒童辦理登記手續\n如果您的家庭收入不高於以下金額，您也可能符合資格：\n 家庭人數| 年收入\n 1| $14,580\n 2| $19,720\n 3| $24,860\n 4| $30,000\n 5| $35,140\n 6| $40,280\n 7| $45,420\n 8| $50,560\n 每增加一人，增加：| $5,140\n \n 嬰幼兒計畫 您必須具有以下至少一項經核准的「照護理由」：您每週工作時數超過 10 小時\n您正參加教育或職業訓練計畫\n您開始找工作或找工作的時間已長達 6 個月。 這包括在領取失業福利金的同時找工作\n您住在臨時住房內\n您正接受家庭暴力相關服務\n您正在接受物質濫用相關治療\n如果您的家庭收入不高於以下金額，您可能符合資格：\n 家庭人數| 月收入| 年收入\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n","申請 EarlyLearn 托兒服務的最佳方式是查閱計畫。\n透過 MySchools (https://www.myschools.nyc/zh-hant/schools/3k/) 尋找計畫。\n按一下「More Filters」（更多篩選器），並查看「EarlyLearn」（早期學習）下方的任何選項。\n然後，輸入您的住家地址，以尋找您附近的計畫。\n查閱計畫工作人員將幫助您完成此申請表並確保無誤。如果您已經獲得人力資源管理局 (Human Resources Administration, HRA) 福利，您也可以在指定的 HRA 福利領取中心 (HRA Benefits Access Center) 申請。 (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) 如果您無法查閱某項計畫，您也可以郵寄申請。\n (https://www1.nyc.gov/site/acs/early-care/forms.page) 下載您的語言版本的申請 (mailto:ccapplication@schools.nyc.gov) 或致電 311，要求郵寄申請表。將您的申請透過電子郵件發送至 \nccapplication@schools.nyc.gov\n\n如果您無法發送電子郵件，您也可以將申請郵寄至：NYC DOE Family Welcome Center333 7th Ave12th floorNew York NY 10001",S2R003,"紐約市教育局 (NYC Department of Education, DOE)",,下載申請表
P001en,"The Child and Dependent Care Tax Credit reimburses you up to 50% of the cost for caring for a child or adult dependent. On your 2024 tax return, you can claim up to $3,000 for the cost of care for one qualifying person and $6,000 for care for two or more qualifying persons.",Tax refund if you paid for child and dependent care,Get money back if you paid for childcare or adult dependent care while working or looking for work.,"To be eligible for the Child and Dependent Care Tax Credit, you should be able to answer yes to these questions:\nDid you pay someone to care for your dependent so that you (and your spouse, if filing a joint return) could work or look for work? Qualifying dependents are:\na child under age 13 at the time of care; \na spouse or adult dependent who cannot physically or mentally care for themselves.\nDid the dependent live with you for more than half of 2024?\nDid you (and your spouse if you file taxes jointly) earn income? These can be from wages, salaries, tips, other taxable employee money, or earnings from self-employment.\nIf you are married, do both you and your spouse work outside of the home?\nIf not, do one of you work outside of the home while the other is a full-time student, has a disability, or is looking for work?","File your federal taxes for free with getyourrefund.org (https://www.getyourrefund.org/) to claim the credit. If mailing your tax return, complete Form 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) and include Form 2441 (https://www.irs.gov/pub/irs-pdf/f2441.pdf) .You can get free tax filing help online, in person or by dropping off your documents with NYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .",S2R001,NYC Department of Consumer and Worker Protection (DCWP); Internal Revenue Service (IRS),Call 800-906-9887 to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).,
