plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
Ulga od podatku od nieruchomości dla niepełnosprawnych nowojorczyków,Polish,"\nPomoc można uzyskać osobiście w (https://access.nyc.gov/locations/?lat=6864) Department of Finance Business Center (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) (Centrum biznesowe Departamentu Finansów) (poniedziałek - piątek, 08:30 - 16:30).\nWięcej informacji można uzyskać na stronie internetowej DHE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) .\nZadzwoń do DHE pod numer 212-NEW-YORK, lub 212-639-9675 (rozmowa zamiejscowa), lub TTY 212-639-9675 (osoby niedosłyszące).\nWyślij e-mail do DHE, aby uzyskać więcej informacji.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Le remboursement d’impôts si vous avez payé pour la garde de votre enfant ou de la personne à votre charge,French,"\nRenseignez-vous sur les crédits d’impôt (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que vous pouvez demander.\nAppelez le 800 906 9887 pour trouver le bureau le plus proche du service d’assistance fiscale bénévole (Volunteer Income Tax Assistance, VITA) ou des conseils en fiscalité pour les personnes âgées (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Soins et éducation aux enfants de 3 à 4 ans de familles à revenus modestes,French,\nEn savoir plus sur les programmes Head Start du NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nAppelez le 311 et demandez « Head Start » si vous avez besoin d’aide pour trouver un programme.,,
Programmes extrascolaires pour les étudiants,French,"En ligneEn savoir plus sur le COMPASS du (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.Par téléphoneAppelez le service Youth Connect du DYCD au 800 246 4646 ou au 646 343 6800 pour déposer votre candidature. Pour plus d’informations, vous pouvez vous entretenir avec le personnel du programme parascolaire de l’école de votre enfant.Appelez le 311Demandez une «assistance générale sur les programmes parascolaires» (Comprehensive After School Program assistance).",,
有工作之個人與家庭的稅額抵免,Chinese (Traditional),\n瞭解更多您可以申領的 (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) 稅額抵免。\n請致電 800-906-9887，找尋最近的志工所得稅協助 (VITA) 或長者稅務諮詢 (TCE) 計劃。,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
تجميد الإيجار لذوي الاحتياجات الخاصة,Arabic,تفضل بزيارة المواقع الإلكترونيةبادر بزيارة الموقع الإلكتروني لبرنامج تجميد الإيجار بمدينة نيويورك (http://www1.nyc.gov/site/rentfreeze/index.page) لمعرفة المزيد.راجع الأسئلة الشائعة (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) حول برنامج تجميد الإيجار أثناء جائحة كوفيد-19.الاتصال ببرنامج DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) اطلب المساعدة من إدارة الشؤون المالية.الاتصال ببرنامج DRIE باستخدام الهاتف النصي لضعاف السمع (TTY)اتصل بالرقم 9675-639-212 إذا كنت تعاني من صعوبة في السمع.اتصل على الرقم 311اطلب التحدث مع أخصائيي DRIE.,إذا كنت تعيش في شقة شركة صندوق تطوير الإسكان (Housing Development Fund Company (HDFC)) وشقة برنامج (Mitchell-Lama)، اتصل بـ HPDعلى الرقم 8494-863-212 لتقديم الطلب.,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Care and education for 3-4 year-olds from low-income families,English,"\nLearn more about Head Start from NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nCall 311 and ask for ""Head Start"" if you need help finding a program.",,
Ayuda mensual en efectivo cuando la necesite,Spanish,\nVisite el sitio web de Asistencia en efectivo (http://www1.nyc.gov/site/hra/help/cash-assistance.page) para conocer más sobre este programa.\nLlame a la línea de información de la HRA al 718-557-1399 para obtener más información.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
Bezpłatny program Pre-K dla czterolatków,Polish,"\nOdwiedź stronę internetową NYC DOE poświęconą edukacji przedszkolnej (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) , aby dowiedzieć się więcej na temat procesu przyjmowania do przedszkoli.\nZadzwoń pod numer 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) , jeśli masz pytania na temat procesu przyjmowania do przedszkoli.\nWyślij e-mail do działu przyjęć do przedszkoli na adres ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) , jeśli masz pytania dotyczące przyjęcia dziecka do przedszkola.\nOdwiedź ośrodek pierwszego kontaktu dla nowo przybyłych rodzin, aby dowiedzieć się więcej o programach przedszkolnych.",\nZapisz dziecko telefonicznie pod numerem 718-935-2009.Wnioski można składać w terminie od 10 stycznia do 1 marca 2024 r.\nWsparcie tłumaczeniowe jest dostępne w ponad 200 językach.,
Tax credit for families with children,English,\nLearn about tax credits (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) that you can claim.\nCall 800-906-9887 to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
খাবার কেনার টাকা,Bengali,\nআরো তথ্য খুঁজতে SNAP ওয়েবসাইটে (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) যান।\nSNAP এ আবেদন করার সহায়তার জন্য HRA ইনফোলাইনের 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) নম্বরে ফোন করুন।\nসশরীরে সাহায্য পেতে কোনো SNAP কেন্দ্র (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) বা আপনার স্থানীয় কমিউনিটি-ভিত্তিক সংস্থা (CBO) তে যান।,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
