vision,goal
Growth,Housing Supply & Affordability
Sustainability,Air quality
Growth,Transportation
Equity,Vision Zero
Sustainability,Brownfields
Resiliency,Coastal Defense
Sustainability,Parks & Natural Resources
Equity,Criminal justice reform
Sustainability,Water management
Equity,Access to healthcare
Resiliency,Coastal Defense
Growth,Housing Supply & Affordability
Resiliency,Coastal Defense
Growth,"Vision-level, Industry Expansion & Cultivation"
Resiliency,Vision-level
Growth,Broadband
Equity,Vision-level
Sustainability,Water management
Equity,Criminal justice reform
Growth,Transportation
Growth,"Vision-level, Industry Expansion & Cultivation"
Growth,Vision-level
Resiliency,Infrastructure
Resiliency,Buildings
Equity,"Healthy neighborhoods, active living"
Equity,"Healthy neighborhoods, active living"
Growth,Workforce Development
Equity,Criminal justice reform
Resiliency,Buildings
Equity,Vision-level
Resiliency,Neighborhoods
Growth,"Vision-level, Housing Supply & Affordability"
Growth,Vision-level
Resiliency,Infrastructure
Sustainability,Zero Waste
Equity,"Healthy neighborhoods, active living"
Sustainability,"Vision-level, 80 x 50"
Equity,Criminal justice reform
Growth,Vision-level
Equity,Early childhood
Sustainability,Water management
Sustainability,Air quality
Equity,Access to healthcare
Sustainability,Zero Waste
Equity,Vision Zero
Equity,"Healthy neighborhoods, active living"
Growth,Broadband
Sustainability,Vision-level
Resiliency,Neighborhoods
Growth,Vision-level
Growth,Vision-level
Equity,Vision Zero
Resiliency,Vision-level
Growth,"Vision-level, Industry Expansion & Cultivation"
Equity,Criminal justice reform
Sustainability,Vision-level
Equity,Early childhood
Growth,Workforce Development
Growth,Housing Supply & Affordability
Equity,"Healthy neighborhoods, active living"
Equity,Early childhood
Equity,"Healthy neighborhoods, active living"
Equity,Vision-level
Equity,"Healthy neighborhoods, active living"
Sustainability,Water management
Growth,Transportation
Growth,"Vision-level, Industry Expansion & Cultivation"
Growth,"Vision-level, Industry Expansion & Cultivation"
Equity,Criminal justice reform
Equity,Early childhood
Resiliency,Infrastructure
Resiliency,Infrastructure
Sustainability,Zero Waste
Growth,Workforce Development
Growth,Transportation
Sustainability,"Vision-level, Zero Waste"
Resiliency,Neighborhoods
Growth,Broadband
Resiliency,Infrastructure
Resiliency,Vision-level
Growth,Vision-level
Growth,Transportation
Growth,Broadband
Resiliency,Buildings
Resiliency,Coastal Defense
Equity,Early childhood
Resiliency,Vision-level
Resiliency,Coastal Defense
Sustainability,Air quality
Resiliency,Vision-level
Growth,Culture
Resiliency,Vision-level
Growth,Broadband
Growth,Housing Supply & Affordability
Growth,Workforce Development
Equity,Early childhood
Resiliency,Neighborhoods
Sustainability,"Vision-level, Zero Waste"
Growth,Vision-level
Growth,Workforce Development
Equity,"Healthy neighborhoods, active living"
Sustainability,Water management
Equity,Access to healthcare
Growth,Transportation
Equity,Access to healthcare
Sustainability,"Vision-level, 80 x 50"
Equity,Vision Zero
Growth,Broadband
Resiliency,Buildings
Equity,Vision-level
Growth,Workforce Development
Growth,"Vision-level, Industry Expansion & Cultivation"
Resiliency,Buildings
Sustainability,Parks & Natural Resources
Sustainability,Air quality
Resiliency,Buildings
Sustainability,Air quality
Growth,Transportation
Growth,"Vision-level, Industry Expansion & Cultivation"
Growth,Transportation
Sustainability,Air quality
Resiliency,Coastal Defense
Growth,"Vision-level, Industry Expansion & Cultivation"
Sustainability,Water management
Equity,Vision-level
Growth,Culture
Equity,Vision-level
Resiliency,Infrastructure
Sustainability,Brownfields
Sustainability,Zero Waste
Growth,"Vision-level, Housing Supply & Affordability"
Growth,Vision-level
